Query,BM25,Fuzzy,Hybrid,Semantic
Bangladesh football team Nepal safety,0.1,0.1,0.1,0.1
DU law professor denied bail,0.1,0.1,0.1,0.1
Jucsu election vote counting,0.1,0.1,0.1,0.1
Jucsu election vote rigging allegations,0.1,0.1,0.1,0.1
July uprising victims bodies,0.1,0.0,0.1,0.0
Nepal Gen Z protests causes,0.1,0.1,0.1,0.1
Nurul Huda confession 2018 election,0.1,0.1,0.1,0.1
Rucsu candidate list cancellation,0.1,0.1,0.1,0.1
US-Bangla airlines crash compensation verdict,0.1,0.1,0.1,0.1
blood donation for jet crash victims,0.1,0.1,0.1,0.1
illegal bus stands Old Dhaka,0.1,0.1,0.1,0.1
punishment for students involved in violence,0.1,0.1,0.1,0.0
reinstated candidates Rucsu polls,0.1,0.1,0.1,0.1
surveillance state awami league,0.1,0.1,0.1,0.0
tidal surge warning coastal districts,0.1,0.1,0.1,0.1
