Query,BM25,Fuzzy,Hybrid,Semantic
Bangladesh football team Nepal safety,1.0,1.0,1.0,0.6309297535714575
DU law professor denied bail,1.0,1.0,1.0,1.0
Jucsu election vote counting,1.0,1.0,1.0,0.6309297535714575
Jucsu election vote rigging allegations,1.0,1.0,1.0,0.43067655807339306
July uprising victims bodies,1.0,0.0,0.3333333333333333,0.0
Nepal Gen Z protests causes,1.0,1.0,1.0,1.0
Nurul Huda confession 2018 election,1.0,1.0,1.0,1.0
Rucsu candidate list cancellation,0.6309297535714575,0.31546487678572877,1.0,1.0
US-Bangla airlines crash compensation verdict,1.0,1.0,1.0,1.0
blood donation for jet crash victims,0.6309297535714575,1.0,1.0,1.0
illegal bus stands Old Dhaka,1.0,1.0,1.0,0.5
punishment for students involved in violence,0.5,1.0,0.6309297535714575,0.0
reinstated candidates Rucsu polls,1.0,1.0,1.0,1.0
surveillance state awami league,0.6309297535714575,1.0,0.6309297535714575,0.0
tidal surge warning coastal districts,1.0,1.0,1.0,1.0
